ranking,player_name,points
324,Quentin Grimes,275
325,Justise Winslow,274
326,Rodney McGruder,273
327,Zeke Nnaji,270
328,Dean Wade,269
329,Keon Johnson,267
330,Jock Landale,265
331,Svi Mykhailiuk,255
332,Robin Lopez,254
333,Xavier Tillman Sr.,252
334,Wesley Matthews,249
335,Danuel House Jr.,248
336,Khem Birch,247
337,Frank Ntilikina,240
338,Alex Len,235
339,Jordan McLaughlin,233
340,David Nwaba,233
341,Taj Gibson,229
342,T.J. McConnell,229
343,Moses Moody,228
344,Timothé Luwawu-Cabarrot,227
345,Greg Brown III,225
346,Zach Collins,218
347,Romeo Langford,218
348,Maurice Harkless,217
349,Trey Burke,214
350,Bismack Biyombo,210
351,Ignas Brazdeikis,210
352,Davon Reed,209
353,Saben Lee,208
354,Derrick Favors,206
355,DeAndre Jordan,206
356,Dennis Smith Jr.,206
357,Dalano Banton,205
358,Thomas Bryant,201
359,Lindy Waters III,199
360,Isaiah Joe,198
361,Tomáš Satoranský,198
362,Day'Ron Sharpe,198
363,Aaron Nesmith,196
364,Trent Forrest,195
365,Markelle Fultz,195
366,Malachi Flynn,189
367,Vit Krejci,187
368,Tony Snell,187
369,Luka Garza,186
370,Rajon Rondo,186
371,Isaiah Thomas,184
372,Anthony Gill,180
373,Keifer Sykes,180
374,Collin Sexton,176
375,Thanasis Antetokounmpo,171
376,Moses Brown,171
377,Brandon Goodwin,171
378,Kelan Martin,171
379,Tony Bradley,163
380,Rodney Hood,163
381,Yuta Watanabe,163
382,Jared Butler,161
383,Brook Lopez,161
384,Matt Thomas,161
385,Sterling Brown,160
386,Joe Harris,158
387,Goran Dragić,157
388,Marquese Chriss,154
389,Gorgui Dieng,154
390,Sandro Mamukelashvili,154
391,Olivier Sarr,153
392,Patrick Williams,153
393,Elfrid Payton,150
394,Nick Richards,150
395,Admiral Schofield,146
396,James Bouknight,142
397,Wenyen Gabriel,141
398,Kira Lewis Jr.,141
399,Cody Zeller,140
400,Nathan Knight,138
401,Josh Okogie,133
402,Santi Aldama,132
403,Kent Bazemore,132
404,Juancho Hernangómez,131
405,Jarrett Culver,130
406,Markieff Morris,129
407,Enes Freedom,128
408,Markus Howard,126
409,Elijah Hughes,126
410,Andre Iguodala,124
411,Isaiah Livers,121
412,Killian Tillie,118
413,Paul Reed,116
414,Paul Millsap,115
415,Dylan Windler,110
416,Ish Wainright,108
417,Kris Dunn,106
418,David Duke Jr.,104
419,Jaylen Hoard,103
420,Justin Anderson,102
421,Gary Clark,101
422,Victor Oladipo,99
423,Boban Marjanović,98
424,Semi Ojeleye,98
425,PJ Dozier,97
426,Trevor Ariza,96
427,Keljin Blevins,95
428,Frank Kaminsky,95
429,Kevin Knox,93
430,Reggie Perry,92
431,Jericho Sims,90
432,Miles McBride,89
433,Michael Porter Jr.,89
434,Bruno Fernando,88
435,Georgios Kalaitzakis,86
436,Nerlens Noel,85
437,Brad Wanamaker,83
438,Justin Champagnie,81
439,Jake Layman,81
440,Udoka Azubuike,80
441,Skylar Mays,80
442,Lindell Wigginton,80
443,Braxton Key,79
444,Justin Robinson,78
445,Daishen Nix,77
446,KZ Okpala,77
447,Greg Monroe,76
448,Kyle Guy,74
449,Malcolm Hill,72
450,Charles Bassey,69
451,Mychal Mulder,69
452,Denzel Valentine,69
453,Chris Chiozza,67
454,Tyler Cook,67
455,JT Thor,67
456,Sam Hauser,65
457,Vlatko Čančar,62
458,Joe Wieskamp,61
459,Jahmi'us Ramsey,60
460,Alfonzo McKinnie,59
461,Xavier Moon,58
462,Mamadi Diakite,56
463,Jabari Parker,53
464,Jalen Johnson,52
465,Cassius Stanley,52
466,Javonte Smart,51
467,Leandro Bolmaro,50
468,Devin Cannady,50
469,Hassani Gravett,50
470,Jamorko Pickett,50
471,Jay Scrubb,49
472,Usman Garuba,48
473,Theo Pinson,48
474,Devontae Cacok,46
475,Louis King,45
476,Neemias Queta,45
477,Zavier Simpson,44
478,Haywood Highsmith,43
479,Trevelin Queen,43
480,Alize Johnson,41
481,Tim Frazier,39
482,Kevin Pangos,39
483,Jared Harper,37
484,Didi Louzada,35
485,Willie Cauley-Stein,34
486,Abdel Nader,34
487,Bol Bol,33
488,Melvin Frazier,32
489,Udonis Haslem,32
490,Brandon Knight,32
491,Chaundee Brown Jr.,31
492,Paul Watson,31
493,Charlie Brown Jr.,30
494,Luke Kornet,30
495,Quinndary Weatherspoon,30
496,D.J. Wilson,30
497,Devon Dotson,29
498,James Ennis III,29
499,Ed Davis,28
500,Mason Jones,27
501,B.J. Johnson,26
502,Chris Silva,26
503,Sam Merrill,25
504,Carsen Edwards,23
505,Cameron Oliver,23
506,Wes Iwundu,22
507,Kai Jones,22
508,Malik Fitts,21
509,Freddie Gillespie,21
510,Brodric Thomas,21
511,Rayjon Tucker,21
512,Vernon Carey Jr.,20
513,Isaiah Todd,20
514,Jeff Dowtin,19
515,Derrick Walton,19
516,Gabriel Deck,18
517,Nik Stauskas,18
518,Tyler Johnson,17
519,Marko Simonovic,17
520,Tyrone Wallace,17
521,Ryan Arcidiacono,16
522,Justin Jackson,15
523,RJ Nembhard Jr.,15
524,Petr Cornelie,14
525,Sekou Doumbouya,14
526,Aleem Ford,14
527,Langston Galloway,14
528,Cameron McGriff,14
529,Cassius Winston,14
530,Marcus Garrett,13
531,Gabriel Lundberg,13
532,Yves Pons,13
533,Myles Powell,13
534,Isaac Bonga,12
535,Tacko Fall,12
536,Micah Potter,12
537,Cheick Diallo,11
538,Tremont Waters,10
539,Daniel Oturu,9
540,Solomon Hill,8
541,Mac McClung,8
542,Malik Newman,8
543,Gabe York,8
544,Sharife Cooper,7
545,Eugene Omoruyi,7
546,Robert Woodard II,7
547,Paris Bass,6
548,Dakota Mathias,6
549,Norvel Pelle,6
550,Tre Scott,6
551,Craig Sword,6
552,Juwan Morgan,5
553,Miye Oni,5
554,Jordan Schakel,5
555,Wayne Selden,5
556,Xavier Sneed,5
557,McKinley Wright IV,5
558,Moses Wright,5
559,Darren Collison,4
560,Damyean Dotson,4
561,Shaquille Harrison,4
562,Scotty Hopson,4
563,Chandler Hutchison,4
564,Carlik Jones,4
565,Jemerrio Jones,4
566,Rob Edwards,3
567,Emmanuel Mudiay,3
568,Matt Ryan,3
569,Deividas Sirvydis,3
570,Joel Ayayi,2
571,Shaq Buchanan,2
572,Ahmad Caver,2
573,Jarron Cumberland,2
574,Aaron Henry,2
575,DaQuan Jeffries,2
576,Joe Johnson,2
577,Jaylen Morris,2
578,Jaden Springer,2
579,Tyrell Terry,2
580,George King,1
581,Scottie Lewis,1
582,Cat Barber,0
583,Jordan Bell,0
584,Zylan Cheatham,0
585,Sam Dekker,0
586,Javin DeLaurier,0
587,Jaime Echenique,0
588,Jordan Goodwin,0
589,Tyler Hall,0
590,Nate Hinton,0
591,Jay Huff,0
592,Feron Hunt,0
593,DeJon Jarreau,0
594,David Johnson,0
595,Arnoldas Kulboka,0
596,Anthony Lamb,0
597,JaQuori McLaughlin,0
598,C.J. Miles,0
599,Matt Mooney,0
600,Ade Murkey,0
601,Jaysean Paige,0
602,Trayvon Palmer,0
603,Emanuel Terry,0
604,Jon Teske,0
605,M.J. Walker,0
